id,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1.0232050582161576e+19,14103101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f7b1ef1e,6332421a,1,0,23139,320,50,2664,0,35,-1,51
1.202197339464852e+19,14103106,1005,1,be9c03af,5f7e263e,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,12fd8365,be6db1d7,1,0,8330,320,50,761,3,175,100075,23
1.0494702656389181e+19,14103114,1005,0,17d1b03f,f3845767,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7e04f822,23885c9e,1,0,22104,320,50,2545,0,431,100084,221
1.7856532866700612e+19,14103115,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6135c97f,76dc4769,1,0,24214,320,50,2780,2,35,100081,23
1.7590950238939476e+19,14103114,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f4cc72fb,43836a96,1,0,24153,320,50,2772,3,39,-1,23
5.881551057487761e+18,14103100,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,edbad322,bc83bd75,aaffed8f,1,0,16688,320,50,1873,3,39,-1,23
1.7177557982746028e+19,14103109,1005,0,85f751fd,c4e18dd6,50e219e0,d292c32f,2347f47a,0f2161f8,a99f214a,a7c36393,42a5d6ce,1,0,24161,320,50,2774,2,35,100094,23
6.627313351138312e+18,14103111,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,b178f96a,2692a96a,1,3,23855,320,50,2734,1,163,100193,71
1.3513918307483625e+19,14103119,1005,0,17d1b03f,f3845767,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,976bc6e5,ecb851b2,1,0,22261,320,50,2545,0,431,100084,221
1.7437522829030164e+19,14103112,1005,1,92c7cbe7,6e882918,75fa27f6,ecad2386,7801e8d9,07d7df22,a99f214a,e5c3cb58,43836a96,1,0,24149,320,50,2771,3,39,100173,23
3.529614401316371e+18,14103118,1005,0,85f751fd,c4e18dd6,50e219e0,de97da65,33da2e74,0f2161f8,a99f214a,e0030fa7,03683bd4,1,0,9248,320,50,768,3,175,100156,42
1.6932365213837816e+18,14103120,1005,0,85f751fd,c4e18dd6,50e219e0,de97da65,33da2e74,0f2161f8,a99f214a,af62faf4,3bb1ddd7,1,0,9248,320,50,768,3,175,100156,42
3.699039849794121e+18,14103117,1005,0,14c5faa4,30518255,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3f6b04e3,8a4875bd,1,0,17239,320,50,1973,3,39,-1,23
9.592167179953134e+18,14103109,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,09f1f311,3c53a1a6,1,0,19771,320,50,2227,0,935,100075,48
